Algorithm,Mean_SCBI,Std_SCBI,Min_SCBI,Max_SCBI,Median_SCBI,Mean_Score_Quality,Mean_Coverage,Mean_Diversity,Mean_Efficiency,Mean_Balance,Num_Videos
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_5.0_long_8.0_temporal_iter3,0.2032457196769532,0.2640226777984065,0.0,0.999329754371934,0.04380824743472528,0.2531581060205731,0.15333333333333332,0.19032765868985838,0.6024016019295808,0.07405843210498289,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_5.0_long_8.0_score_diff_iter2,0.203055968285945,0.2585821673940783,0.0,0.999996957541268,0.062196344138789994,0.27277860323855674,0.13333333333333333,0.2020418599770314,0.6178627803925557,0.06816668782592354,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_5.0_long_8.0_score_diff_iter2,0.20302366579519537,0.2604660740024251,0.0,0.999996957541268,0.057487551857518124,0.2693806649237241,0.13666666666666666,0.20010807864713182,0.6144737045825504,0.06993492841701397,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_5.0_long_8.0_temporal_iter1,0.20192855016468975,0.25857346456281005,0.0,0.9956774713923502,0.057487551857518124,0.26052376699604624,0.14333333333333334,0.20265558567787548,0.6090237882375328,0.06676262182777953,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_4.0_long_6.0_temporal_iter1,0.20170653613909525,0.2549888930243856,0.0,0.9951379137095733,0.057487551857518124,0.26341307227819055,0.14,0.20336242601436016,0.604700118599748,0.06449696669767169,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_4.0_long_6.0_temporal_iter3,0.201328606852703,0.2600222252313356,0.0,0.999329754371934,0.05378472469301594,0.2493238803720727,0.15333333333333332,0.21722012605640686,0.581650919023599,0.07204821758247965,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_3.0_long_5.0_temporal_iter3,0.20119999043576106,0.2599503649214297,0.0,0.999329754371934,0.046253874904034376,0.24906664753818877,0.15333333333333332,0.19614850216136107,0.575288074034426,0.06930019558545684,300
selected_dbfp_dense_videomme_blip_k16_alpha0.5_adaptive_short_2.0_med_4.0_long_6.0_score_diff_iter2,0.20052484905427131,0.25621577429729014,0.0,0.9956774713923502,0.04746996006210902,0.2510496981085426,0.15,0.19050983387303294,0.5922397104402222,0.06757780312794781,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_3.0_med_6.0_long_10.0_temporal_iter3,0.20049361360644663,0.2560593435664628,0.0,0.9999970171483001,0.05400173921788263,0.2676538938795599,0.13333333333333333,0.23520868946025672,0.6145434483693059,0.06800445442764104,300
selected_dbfp_dense_videomme_blip_k16_alpha0.85_adaptive_short_2.0_med_5.0_long_8.0_temporal_iter2,0.20049046753224445,0.2558725439551275,0.0,0.9951379137095733,0.04380824743472528,0.25431426839782223,0.14666666666666667,0.20224072891116868,0.6148193327225422,0.06577390503626643,300
selected_dbfp_dense_videomme_blip_k16_alpha0.8_adaptive_short_2.0_med_3.0_long_5.0_score_diff_iter1,0.20023299418189286,0.25254136793971554,0.0,0.999996957541268,0.057487551857518124,0.26046598836378576,0.14,0.19795550507614196,0.5843205398750918,0.062290009942639994,300
