import time: self [us] | cumulative | imported package
import time:       122 |       2548 |                                 torch.package.analyze.find_first_use_of_broken_modules
import time:       149 |        149 |                                 torch.package.analyze.trace_dependencies
import time:       138 |       2835 |                               torch.package.analyze
import time:       115 |       2950 |                             torch.package.analyze.is_from_package
import time:       147 |        147 |                             torch.package.file_structure_representation
import time:       246 |        246 |                                 glob
import time:       131 |        377 |                               torch.package._directory_reader
import time:       123 |        123 |                               torch.package._package_unpickler
import time:       304 |        803 |                             torch.package.package_importer
import time:       145 |       4043 |                           torch.package
import time:        10 |       4053 |                         torch.package._mangling
import time:       175 |        175 |                         torch._awaits
import time:       431 |      18448 |                       torch._jit_internal
import time:       119 |        119 |                       torch.nn._reduction
import time:       118 |        118 |                         torch.nn.modules.utils
import time:       124 |        241 |                       torch.nn.grad
import time:      4862 |      24875 |                     torch.nn.functional
import time:       228 |        228 |                     torch.nn.init
import time:       189 |        189 |                     torch.nn.modules.lazy
import time:       247 |      25538 |                   torch.nn.modules.linear
import time:       511 |        511 |                     torch.nn.common_types
import time:       856 |       1367 |                   torch.nn.modules.conv
import time:       472 |        472 |                   torch.nn.modules.activation
import time:       136 |        136 |                     torch.nn.modules.distance
import time:      4181 |       4317 |                   torch.nn.modules.loss
import time:       602 |        602 |                   torch.nn.modules.container
import time:       484 |        484 |                   torch.nn.modules.pooling
import time:       202 |        202 |                     torch.nn.modules._functions
import time:       307 |        509 |                   torch.nn.modules.batchnorm
import time:       218 |        218 |                   torch.nn.modules.instancenorm
import time:       268 |        268 |                   torch.nn.modules.normalization
import time:       191 |        191 |                   torch.nn.modules.dropout
import time:       322 |        322 |                   torch.nn.modules.padding
import time:       204 |        204 |                   torch.nn.modules.sparse
import time:       327 |        327 |                         torch.nn.utils.rnn
import time:       167 |        167 |                           torch.utils._foreach_utils
import time:       157 |        323 |                         torch.nn.utils.clip_grad
import time:       148 |        148 |                         torch.nn.utils.weight_norm
import time:       119 |        119 |                         torch.nn.utils.convert_parameters
import time:       173 |        173 |                         torch.nn.utils.spectral_norm
import time:       118 |        118 |                         torch.nn.utils.fusion
import time:       103 |        103 |                         torch.nn.utils.memory_format
import time:       291 |        291 |                           torch.nn.utils.parametrize
import time:       274 |        565 |                         torch.nn.utils.parametrizations
import time:       120 |        120 |                         torch.nn.utils.init
import time:       237 |        237 |                           torch.nn.utils._named_member_accessor
import time:       182 |        418 |                         torch.nn.utils.stateless
import time:       226 |       2637 |                       torch.nn.utils
import time:         9 |       2645 |                     torch.nn.utils.rnn
import time:      1737 |       4381 |                   torch.nn.modules.rnn
import time:       176 |        176 |                   torch.nn.modules.pixelshuffle
import time:       210 |        210 |                   torch.nn.modules.upsampling
import time:       206 |        206 |                   torch.nn.modules.fold
import time:       279 |        279 |                   torch.nn.modules.adaptive
import time:       358 |        358 |                   torch.nn.modules.transformer
import time:       189 |        189 |                   torch.nn.modules.flatten
import time:       125 |        125 |                   torch.nn.modules.channelshuffle
import time:       293 |      41863 |                 torch.nn.modules
import time:       235 |        235 |                   torch.nn.parallel.parallel_apply
import time:       175 |        175 |                       torch.cuda.nccl
import time:       159 |        334 |                     torch.nn.parallel.comm
import time:       200 |        533 |                   torch.nn.parallel.replicate
import time:       242 |        242 |                       torch.nn.parallel._functions
import time:       220 |        462 |                     torch.nn.parallel.scatter_gather
import time:       230 |        691 |                   torch.nn.parallel.data_parallel
